id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
185759,1998,0,1998,1998,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,-1,"R, 1998-05-25",,,,police,1,Puente Duran village,Huánuco department,Huánuco Province,-9.51667,-76.03333,POINT (-76.033330 -9.516670),115408,Peru,135,PER,Americas,1,1,1998-05-24,1998-05-24,0,0,1,0,1,1,1
181318,1998,1,1998,1998,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"Pittsburgh Post-Gazette 10 August 1998 ""ALSO IN THE WORLD . . .",,,,police spokesman,4,Amazonas department,Amazonas department,,-5.0,-78.233333,POINT (-78.233333 -5.000000),122604,Peru,135,PER,Americas,1,1,1998-08-09,1998-08-09,1,0,0,0,1,1,1
185904,1998,0,1998,1998,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,1,"""BBC Monitoring Service: Latin America,1998-10-06,Shining Path rebels attack various towns, plant bombs, kill two.""",BBC Monitoring Service: Latin America,1998-10-06,"Shining Path rebels attack various towns, plant bombs, kill two.",Peruvian America TV,1,San Fransisco village,San Martín department,Tocache Province,-8.50699,-76.44571,POINT (-76.445710 -8.506990),116848,Peru,135,PER,Americas,1,1,1998-10-05,1998-10-05,0,0,2,0,2,2,2
181524,1999,1,1999,1999,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 30 June 1999 ""FEATURE-Peru rebels rise again in jungle bastion.",,,,,5,Alto Huallaga Valley,,,-8.9,-76.0,POINT (-76.000000 -8.900000),116849,Peru,135,PER,Americas,1,4,1999-01-01,1999-01-31,0,11,0,0,11,11,11
183940,1999,0,1999,1999,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,1,"""Reuters,1999-06-15,Reuters""",Reuters,1999-06-15,Reuters,,5,Alto Huallaga Valley,,,-8.9,-76.0,POINT (-76.000000 -8.900000),116849,Peru,135,PER,Americas,2,4,1999-06-01,1999-06-15,0,0,6,0,6,6,6
181568,1999,1,1999,1999,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"EFE 4 June 1999 ""PERU-TERRORISM SIX KILLED IN CLASHES BETWEEN SHINING PATH AND ARM"" / R 4 June 1999 ""Six die in guerrilla road ambush in Peru's jungle",,,,Aucayacu Health Center spokesmen,1,Río Frío village,Huánuco department,Leoncio Prado Province,-8.97435,-76.0909,POINT (-76.090900 -8.974350),116848,Peru,135,PER,Americas,1,1,1999-06-03,1999-06-03,2,1,3,0,6,6,6
181569,1999,1,1999,1999,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"R 14 July 1999 ""Shining Path head eludes capture, still surrounded.",,,,President,6,Peru,,,-10.0,-76.0,POINT (-76.000000 -10.000000),115409,Peru,135,PER,Americas,1,1,1999-07-13,1999-07-13,0,2,0,0,2,2,2
181549,1999,1,1999,1999,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"`Expreso' web site, Lima, in Spanish 17 Aug 99  ""Shining Path commander, member killed in clash with army.",,,,police spokesman,5,Polvora district,San Martín department,Tocache Province,-8.01563,-76.79896,POINT (-76.798960 -8.015630),117567,Peru,135,PER,Americas,1,1,1999-08-14,1999-08-14,0,2,0,0,2,2,2
181570,1999,1,1999,1999,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"EFE 27 Nov 1999 ""PERU-CONFLICT SIX DEAD IN CLASHES WITH SHINING PATH IN PERU",,,,Authorities,3,Satipo Province,Junín department,Satipo Province,-11.5,-74.25,POINT (-74.250000 -11.500000),113252,Peru,135,PER,Americas,1,2,1999-11-25,1999-11-26,2,4,0,0,6,6,6
181588,2000,0,2000,2000,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,-1,"EFE 6 April 2000 ""PERU-TERRORISM POLICEMAN KILLED, TWO INJURED IN SENDERO LUMINOSO ATTACK",,,,local authorities,3,La Mar Province,Ayacucho department,La Mar Province,-12.91667,-73.83333,POINT (-73.833330 -12.916670),111093,Peru,135,PER,Americas,1,1,2000-03-23,2000-03-23,1,0,0,0,1,1,1
