featureId,sessionId,identifyId,accountId,date
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688558792292-69352265,e7fa6243-03cb-455f-9cd4-ac5400853645,96005797-7f4b-4c6c-aacc-ac54007a707b,2023-07-05 12:25:41.594000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688483550795-83785847,b34d5f06-84c1-44ee-b9ad-ae2400f91021,f3bb91d8-9039-4c62-8df2-ae2400e21469,2023-07-04 15:25:33.691000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688556347715-16748454,01aaadca-2101-48e9-ba1b-aff70061fd64,71786327-3797-4e7e-ab50-afe100779f5a,2023-07-05 11:32:35.176000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688544336691-69285245,dc783eeb-5e44-4d25-a3df-aaee008758d8,9622e878-4c9e-4d45-b453-aa4c00f223e3,2023-07-05 08:14:39.688000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688651712647-24627123,78818dc6-7cfe-41a4-b588-b014008606d7,4d7e4267-88f9-4a46-94c4-b0140085977d,2023-07-06 13:58:20.551000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688315429848-35771531,402a75b5-771e-47fd-9859-adb300954b62,c227ffa4-3221-4fda-950c-afa8009b92ab,2023-07-02 16:41:35.447000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688315429848-35771531,402a75b5-771e-47fd-9859-adb300954b62,c227ffa4-3221-4fda-950c-afa8009b92ab,2023-07-02 16:41:35.497000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1690677480809-43565696,75466f10-506c-43a8-be33-af48009f3992,0d137c40-51c1-4d4d-88ea-af470087022b,2023-07-30 01:05:57.712000
b0ae6471-2cd0-474e-a040-48559456201d,AP-2JVPK4ITZYDH-2-1688292213569-15384421,263581f5-4631-4d24-8758-ab8e00dbe4ef,10cf5cdf-3bb0-4ad7-abe0-ab8a00f8bb78,2023-07-02 10:11:22.781000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-1688292213569-15384421,263581f5-4631-4d24-8758-ab8e00dbe4ef,10cf5cdf-3bb0-4ad7-abe0-ab8a00f8bb78,2023-07-02 10:07:34.487000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688623782037-34317449,a2250706-8d84-407d-b674-afe100a0c274,6ebdc58e-199a-4d1c-8eb0-affe00a8cc3e,2023-07-06 07:37:01.440000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688649317120-81356481,67bca5ff-2ef7-446c-b268-b01200b5088a,af372668-6b06-467a-922f-b01200b4891e,2023-07-06 13:25:47.333000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688623782037-34317449,a2250706-8d84-407d-b674-afe100a0c274,6ebdc58e-199a-4d1c-8eb0-affe00a8cc3e,2023-07-06 07:37:10.721000
7592272d-c765-4ff8-b9f0-57ea7392b402,AP-2JVPK4ITZYDH-2-2-1688623782037-34317449,a2250706-8d84-407d-b674-afe100a0c274,6ebdc58e-199a-4d1c-8eb0-affe00a8cc3e,2023-07-06 07:37:01.508000
